pos,team,gp,gd,pts
1,Arsenal,13,+20,34
2,Manchester City,13,+27,32
3,Newcastle Utd,14,+17,27
4,Tottenham,14,+9,26
5,Manchester Utd,13,-1,23
6,Brighton,13,+5,21
7,Chelsea,13,+1,21
8,Liverpool,13,+9,19
9,Fulham,14,-1,19
10,Crystal Palace,13,-2,19
11,Brentford,14,-3,16
12,Leeds United,13,-3,15
13,Aston Villa,14,-7,15
14,Leicester City,14,-2,14
15,West Ham,14,-3,14
16,Everton,14,-3,14
17,Bournemouth,14,-17,13
18,Southampton,14,-12,12
19,Wolves,14,-14,10
20,Nott'ham Forest,14,-20,10
