name,pos,club
Bozhidar Kraev,MID,Wellington Phoenix
Suleman Krpic,FWD,Western Sydney Wanderers
Jaiden Kucharski,FWD,Sydney FC
Garang Kuol,FWD,Central Coast Mariners
Filip Kurto,GK,Macarthur FC
Darryl Lachman,DEF,Perth Glory
Leo Lacroix,DEF,Western United
Thomas Lam,DEF,Melbourne City
Joshua Laws,MID,Wellington Phoenix
Adam le Fondre,FWD,Sydney FC
Mathew Leckie,MID,Melbourne City
Clayton Lewis,MID,Wellington Phoenix
Jez Lofthouse,FWD,Brisbane Roar
Joe Lolley,MID,Sydney FC
Alessandro Lopane,MID,Western Sydney Wanderers
Enrique Lopez,DEF,Melbourne Victory
Javier Lopez,UTL,Adelaide United
Edmond Lupancu,DEF,Melbourne Victory
Steven Lustica,MID,Western United
Charles M'Mombwa,MID,Macarthur FC
Jamie Maclaren,FWD,Melbourne City
Panashe Madanha,FWD,Adelaide United
Robert Mak,MID,Sydney FC
Rai Marchan,MID,Melbourne Victory
Daniel Margush,GK,Western Sydney Wanderers
Dalibor Markovic,DEF,Western United
Lucas Mauragis,FWD,Wellington Phoenix
Aaron McEneff,MID,Perth Glory
James McGarry,MID,Newcastle Jets
Jake McGing,DEF,Macarthur FC
Jack Mcloughlin,MID,Macarthur FC
Brandon McMorrow,MID,Brisbane Roar
James Meredith,DEF,Macarthur FC
Beka Mikeltadze,FWD,Newcastle Jets
Nicolas Milanovic,FWD,Western United
Nikola Mileusnic,MID,Brisbane Roar
Matthew Millar,DEF,Macarthur FC
Roderick Miranda,DEF,Melbourne Victory
Anton Mlinaric,DEF,Brisbane Roar
Moresche,FWD,Central Coast Mariners
Tomislav Mrcela,DEF,Western Sydney Wanderers
Jacob Muir,DEF,Perth Glory
Andrew Nabbout,FWD,Melbourne City
Moudi Najjar,FWD,Macarthur FC
Ramy Najjarine,MID,Western Sydney Wanderers
Nani,FWD,Melbourne Victory
Mark Natta,DEF,Newcastle Jets
Scott Neville,DEF,Brisbane Roar
Yeni Ngabakoto,MID,Western Sydney Wanderers
Calem Nieuwenhof,MID,Western Sydney Wanderers
James Nieuwenhuizen,GK,Melbourne City
Stefan Nigro,MID,Melbourne Victory
Milos Ninkovic,MID,Western Sydney Wanderers
Joshua Nisbet,MID,Central Coast Mariners
Pacifique Niyongabire,MID,Perth Glory
Beni Nkololo,MID,Central Coast Mariners
Craig Noone,MID,Macarthur FC
Nick O'Connell,GK,Brisbane Roar
Aiden O'Neill,MID,Melbourne City
Brandon O'Neill,MID,Newcastle Jets
Jay O'Shea,MID,Brisbane Roar
Connor O'Toole,DEF,Sydney FC
Benjamin Old,MID,Wellington Phoenix
Bernardo Oliveira,MID,Adelaide United
Luke Oresti,MID,Melbourne City
Trent Ostler,FWD,Perth Glory
Mitchell Oxborrow,MID,Perth Glory
Connor Pain,UTL,Western United
Alex Parsons,MID,Sydney FC
Sebastian Pasquali,MID,Western United
Alex Paulsen,GK,Wellington Phoenix
Adam Pavlesic,GK,Sydney FC
Tim Payne,MID,Wellington Phoenix
Nicholas Pennington,MID,Wellington Phoenix
Dylan Pierias,DEF,Western United
Reno Piscopo,MID,Newcastle Jets
Harry Politidis,DEF,Melbourne City
Alexandar Popovic,DEF,Adelaide United
Aleksandar Prijovic,FWD,Western United
Luka Prso,MID,Melbourne Victory
Liam Reddy,GK,Perth Glory
Andrew Redmayne,GK,Sydney FC
Nuno Reis,DEF,Melbourne City
Paulo Retre,MID,Sydney FC
Josh Risdon,DEF,Western United
Jack Rodwell,DEF,Sydney FC
Lachlan Rose,FWD,Macarthur FC
Storm Roux,DEF,Central Coast Mariners
Alex Rufer,MID,Wellington Phoenix
Michael Ruhs,MID,Central Coast Mariners
Tate Russell,DEF,Western Sydney Wanderers
Oliver Sail,GK,Wellington Phoenix
Isaias Sanchez,MID,Adelaide United
Zachary Sapsford,MID,Western Sydney Wanderers
Adrian Sardinero,FWD,Perth Glory
Yan Sasse,MID,Wellington Phoenix
Ryan Scott,GK,Western United
Adrian Segecic,DEF,Sydney FC
Samuel Silvera,FWD,Central Coast Mariners
Jerry Skotadis,MID,Macarthur FC
Noah Smith,DEF,Melbourne Victory
Jaushua Sotirio,FWD,Newcastle Jets
Yaren Sozer,GK,Central Coast Mariners
Matthew Spiranovic,DEF,Melbourne Victory
Harrison Steele,MID,Central Coast Mariners
Matti Steinmann,MID,Brisbane Roar
Kerrin Stokes,DEF,Melbourne City
Daniel Stynes,FWD,Newcastle Jets
Nicholas Suman,GK,Macarthur FC
Finn Surman,DEF,Wellington Phoenix
Aleksandar Susnjar,DEF,Macarthur FC
Matt Sutton,GK,Melbourne City
Sam Sutton,MID,Wellington Phoenix
Callum Talbot,DEF,Melbourne City
Ahmad Taleb,GK,Melbourne Victory
Brad Tapp,MID,Central Coast Mariners
Christian Theoharous,FWD,Western United
Lawrence Thomas,GK,Western Sydney Wanderers
Angus Thurgate,MID,Newcastle Jets
Marco Tilio,FWD,Melbourne City
Callum Timmins,MID,Newcastle Jets
George Timotheou,DEF,Melbourne Victory
Ruon Tongyik,DEF,Western Sydney Wanderers
Nikolai Topor-Stanley,DEF,Western United
Al Hassan Toure,FWD,Macarthur FC
Musa Toure,FWD,Adelaide United
Adama Traore,DEF,Western Sydney Wanderers
Jacob Tratt,DEF,Western United
Kai Trewin,DEF,Brisbane Roar
Nectarios Triantis,MID,Central Coast Mariners
James Troisi,MID,Western United
Marco Tulio,DEF,Central Coast Mariners
Steven Ugarkovic,MID,Wellington Phoenix
Tomislav Uskok,DEF,Macarthur FC
Jordi Valadon,MID,Melbourne City
