League,URL,table-id
a-league,https://fbref.com/en/comps/65/A-League-Men-Stats,results2022-2023651_overall
epl,https://fbref.com/en/comps/9/Premier-League-Stats,results2022-202391_overall
ligue1,https://fbref.com/en/comps/13/Ligue-1-Stats,results2022-2023131_overall
bundesliga,https://fbref.com/en/comps/20/Bundesliga-Stats,results2022-2023201_overall
la-liga,https://fbref.com/en/comps/12/La-Liga-Stats,results2022-2023121_overall
serie-a,https://fbref.com/en/comps/11/Serie-A-Stats,results2022-2023111_overall
