pos,team,gp,gd,pts
1,Melb City,5,+9,13
2,W Sydney,5,+1,10
3,Adelaide,5,+1,8
4,Central Coast,4,+4,7
5,Melb Victory,5,+2,7
6,Sydney FC,5,0,7
7,Wellington,5,+1,6
8,Brisbane,5,0,6
9,Newcastle,4,-3,6
10,Macarthur FC,5,-2,5
11,Perth Glory,5,-6,3
12,Western United,5,-7,1
