pos,team,gp,gd,pts
1,Napoli,13,+22,35
2,Milan,13,+13,29
3,Lazio,13,+17,27
4,Atalanta,13,+9,27
5,Juventus,13,+13,25
6,Roma,13,+4,25
7,Inter,13,+6,24
8,Udinese,13,+8,23
9,Salernitana,13,-1,17
10,Torino,13,-3,17
11,Fiorentina,13,-2,16
12,Bologna,13,-3,16
13,Sassuolo,13,-4,15
14,Empoli,13,-7,14
15,Monza,13,-8,13
16,Lecce,13,-6,9
17,Spezia,13,-13,9
18,Cremonese,13,-13,6
19,Sampdoria,13,-17,6
20,Hellas Verona,13,-15,5
