pos,team,gp,gd,pts
1,Barcelona,13,+27,34
2,Real Madrid,13,+18,32
3,Atlético Madrid,13,+8,24
4,Betis,13,+8,24
5,Osasuna,13,+3,23
6,Real Sociedad,13,+1,23
7,Athletic Club,13,+7,21
8,Rayo Vallecano,13,+4,21
9,Villarreal,13,+4,18
10,Valladolid,13,-5,17
11,Valencia,13,+4,16
12,Mallorca,13,-1,16
13,Getafe,13,-7,14
14,Girona,13,-3,13
15,Almería,13,-7,13
16,Espanyol,13,-5,12
17,Sevilla,13,-8,11
18,Celta Vigo,13,-12,11
19,Cádiz,13,-16,11
20,Elche,13,-20,4
