League	URL	table-id
aus1	https://fbref.com/en/comps/65/A-League-Men-Stats	results2022-2023651_overall
eng1	https://fbref.com/en/comps/9/Premier-League-Stats	results2022-202391_overall
fra1	https://fbref.com/en/comps/13/Ligue-1-Stats	results2022-2023131_overall
ger1	https://fbref.com/en/comps/20/Bundesliga-Stats	results2022-2023201_overall
spa1	https://fbref.com/en/comps/12/La-Liga-Stats	results2022-2023121_overall
ita1	https://fbref.com/en/comps/11/Serie-A-Stats	results2022-2023111_overall
