pos,team,gp,gd,pts
1,Bayern Munich,13,+29,28
2,Freiburg,13,+7,27
3,Union Berlin,13,+7,26
4,Dortmund,13,+8,25
5,Eint Frankfurt,13,+6,23
6,RB Leipzig,13,+6,22
7,Werder Bremen,13,+4,21
8,M'Gladbach,13,+3,19
9,Hoffenheim,13,+3,18
10,Mainz 05,13,-4,18
11,Wolfsburg,13,+1,17
12,Köln,13,-5,17
13,Augsburg,13,-7,14
14,Leverkusen,13,-4,12
15,Hertha BSC,13,-4,11
16,Stuttgart,13,-8,11
17,Bochum,13,-24,7
18,Schalke 04,13,-18,6
