pos,team,gp,gd,pts
1,Paris S-G,14,+29,38
2,Lens,14,+15,33
3,Rennes,14,+16,28
4,Marseille,14,+12,27
5,Monaco,14,+9,27
6,Lorient,14,+5,27
7,Lille,14,+3,23
8,Lyon,14,+5,20
9,Nice,14,-2,19
10,Clermont Foot,14,-3,19
11,Reims,14,-5,16
12,Toulouse,14,-6,16
13,Troyes,14,-4,14
14,Montpellier,14,-5,13
15,Auxerre,14,-12,13
16,Nantes,14,-7,12
17,Ajaccio,14,-10,11
18,Strasbourg,14,-9,10
19,Brest,14,-13,10
20,Angers,14,-18,8
